,Unit,Module,Title,Subheaders,Paragraph,Generated Question,Key Concepts,Information Score
3374,Foundations of Chemistry,Measurements,Accuracy and Precision,,"When systematic error is present, it is oftenpossible to pinpoint the source of the error. In Lynette's measurements, it may bepossible that the balance she used to measure the mass of the copper is off byapproximately 1.7 g. This would be something that would be prudent for Lynette to checkto see if she could determine the source of her error. With random error on the otherhand, it is difficult if not impossible to determine the source of the error. Whileideally data that is collected in an investigation is both accurate and precise, datawhich shows systematic error is preferable to that which shows random error.",When is systematic error present?,"['difficult', 'balance', 'source', 'otherhand', 'prudent', 'accurate', 'systematic', 'investigation', 'measurement', 'present', 'pinpoint', 'impossible', 'bepossible', 'precise', 'collect', 'show', 'copper', 'oftenpossible', 'error', 'g.', 'datum', 'mass', 'preferable', 'measure', 'determine', 'random', 'datawhich', 'checkto']",0.0
3375,Foundations of Chemistry,Measurements,Accuracy and Precision,,Adapted from Openstax Chemistry under Creative Commons Attribution 4.0 License.,Adapted from Openstax Chemistry under what Creative Commons Attribution 4.0 License?,"['license', 'adapt']",0.0
3376,Foundations of Chemistry,Measurements,Accuracy and Precision,,Download for free at .,What is a free download at.pdf?,['free'],0.0
3377,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"An                         acid-base reaction                                                                                    reaction involving the transfer of a hydrogen ion between                                    reactant species                                                                         is one in which a hydrogen ion, H+, is transferred from one                    chemical species to another. Such reactions are of central importance to                    numerous natural and technological processes, ranging from the chemical                    transformations that take place within cells and the lakes and oceans, to the                    industrial-scale production of fertilizers, pharmaceuticals, and other                    substances essential to society. The subject of acid-base chemistry will be                    discussed in much more detail later in this course.",What is an acid-base reaction reaction involving the transfer of a hydrogen ion between reactant species?,"['cell', 'essential', 'acid', 'hydrogen', 'chemistry', 'range', 'base', 'scale', 'industrial', 'pharmaceutical', 'place', 'numerous', 'reaction', 'involve', 'technological', 'course', 'society', 'transfer', 'process', 'importance', 'lake', 'fertilizer', 'discuss', 'subject', 'production', 'reactant', 'specie', 'transformation', 'substance', 'natural', 'central', 'chemical', 'detail', 'ion', 'ocean']",1.4
3378,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"An                         acid-base reaction                                                                                    reaction involving the transfer of a hydrogen ion between                                    reactant species                                                                         is one in which a hydrogen ion, H+, is transferred from one                    chemical species to another. Such reactions are of central importance to                    numerous natural and technological processes, ranging from the chemical                    transformations that take place within cells and the lakes and oceans, to the                    industrial-scale production of fertilizers, pharmaceuticals, and other                    substances essential to society. The subject of acid-base chemistry will be                    discussed in much more detail later in this course.",What type of reaction is H+ transferred from one chemical species to another?,"['cell', 'essential', 'acid', 'hydrogen', 'chemistry', 'range', 'base', 'scale', 'industrial', 'pharmaceutical', 'place', 'numerous', 'reaction', 'involve', 'technological', 'course', 'society', 'transfer', 'process', 'importance', 'lake', 'fertilizer', 'discuss', 'subject', 'production', 'reactant', 'specie', 'transformation', 'substance', 'natural', 'central', 'chemical', 'detail', 'ion', 'ocean']",0.0
3379,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"An                         acid-base reaction                                                                                    reaction involving the transfer of a hydrogen ion between                                    reactant species                                                                         is one in which a hydrogen ion, H+, is transferred from one                    chemical species to another. Such reactions are of central importance to                    numerous natural and technological processes, ranging from the chemical                    transformations that take place within cells and the lakes and oceans, to the                    industrial-scale production of fertilizers, pharmaceuticals, and other                    substances essential to society. The subject of acid-base chemistry will be                    discussed in much more detail later in this course.",Which chemical transformations take place within cells and the lakes and oceans?,"['cell', 'essential', 'acid', 'hydrogen', 'chemistry', 'range', 'base', 'scale', 'industrial', 'pharmaceutical', 'place', 'numerous', 'reaction', 'involve', 'technological', 'course', 'society', 'transfer', 'process', 'importance', 'lake', 'fertilizer', 'discuss', 'subject', 'production', 'reactant', 'specie', 'transformation', 'substance', 'natural', 'central', 'chemical', 'detail', 'ion', 'ocean']",0.0
3380,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,reaction involving the transfer of a hydrogen ion between                                    reactant species,What is a reaction involving the transfer of a hydrogen ion between reactant species?,"['reaction', 'involve', 'hydrogen', 'transfer', 'reactant', 'specie', 'ion']",0.23076923076923078
3381,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"For purposes of this brief introduction, we will consider only the more common                    types of acid-base reactions that take place in aqueous solutions. In this                    context, an                         acid                                                                                    substance that produces H3O+ when dissolved                                    in water                                                                         is a substance that will dissolve in water to yield hydronium ions,                        H3O+. As an example, consider the equation shown                    here:",What are the most common types of acid-base reactions that take place in aqueous solutions?,"['context', 'acid', 'common', 'type', 'base', 'place', 'dissolve', 'aqueous', 'reaction', 'hydronium', 'example', 'brief', 'consider', 'show', 'solution', 'introduction', 'yield', 'equation', 'substance', 'water', 'purpose', 'ion', 'produce']",0.0
3382,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"For purposes of this brief introduction, we will consider only the more common                    types of acid-base reactions that take place in aqueous solutions. In this                    context, an                         acid                                                                                    substance that produces H3O+ when dissolved                                    in water                                                                         is a substance that will dissolve in water to yield hydronium ions,                        H3O+. As an example, consider the equation shown                    here:",What is an acid substance that produces H3O+ when dissolved in water?,"['context', 'acid', 'common', 'type', 'base', 'place', 'dissolve', 'aqueous', 'reaction', 'hydronium', 'example', 'brief', 'consider', 'show', 'solution', 'introduction', 'yield', 'equation', 'substance', 'water', 'purpose', 'ion', 'produce']",0.0
3383,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,substance that produces H3O+ when dissolved                                    in water,What is a substance that produces H3O+ when dissolved in water?,"['produce', 'dissolve', 'substance', 'water']",0.18181818181818182
3384,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The process represented by this equation confirms that hydrogen chloride is an                    acid. When dissolved in water, H3O+ ions are produced by a                    chemical reaction in which H+ ions are transferred from HCl molecules                    to H2O molecules.",What is hydrogen chloride?,"['molecule', 'reaction', 'acid', 'chemical', 'h+', 'ion', 'represent', 'hydrogen', 'process', 'transfer', 'h3o+', 'produce', 'dissolve', 'confirm', 'equation', 'water']",0.0
3385,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The process represented by this equation confirms that hydrogen chloride is an                    acid. When dissolved in water, H3O+ ions are produced by a                    chemical reaction in which H+ ions are transferred from HCl molecules                    to H2O molecules.","When dissolved in water, H3O+ ions are produced by what chemical reaction?","['molecule', 'reaction', 'acid', 'chemical', 'h+', 'ion', 'represent', 'hydrogen', 'process', 'transfer', 'h3o+', 'produce', 'dissolve', 'confirm', 'equation', 'water']",0.0
3386,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The nature of HCl is such that its reaction with water as just described is                    essentially 100% efficient: Virtually every HCl molecule that dissolves in water                    will undergo this reaction. Acids that completely react in this fashion are                    called                         strong acids                                                                                    acids that reacts completely when dissolved in water to yield                                    hydronium ions                                                                        , and HCl is one among just a handful of common acid compounds that are                    classified as strong, as seen in the table below. A far greater number of                    compounds behave as                         weak acids                                                                                    acids that reacts only to a slight extent when dissolved in water                                    to yield hydronium ions                                                                         and only partially react with water, leaving a large majority of                    dissolved molecules in their original form and generating a relatively small                    amount of hydronium ions. Weak acids are commonly encountered in nature, being                    the substances partly responsible for the tangy taste of citrus fruits, the                    stinging sensation of insect bites, and the unpleasant smells associated with                    body odor. A familiar example of a weak acid is acetic acid, the main ingredient                    in food vinegars:",What is the nature of HCl so that its reaction with water as just described is essentially 100% efficient?,"['extent', 'compound', 'small', 'acid', 'classify', 'common', 'citrus', 'behave', 'sting', 'undergo', 'acetic', 'dissolve', 'smell', 'molecule', 'taste', 'associate', 'reaction', 'describe', 'fruit', 'odor', 'food', 'hydronium', 'bite', 'nature', 'HCl', 'example', 'fashion', 'number', 'slight', 'vinegar', 'table', 'original', 'leave', 'insect', 'responsible', 'encounter', 'tangy', 'react', 'see', 'weak', 'main', 'yield', 'sensation', 'great', 'water', 'large', 'form', 'substance', '%', 'efficient', 'majority', 'handful', 'ingredient', 'body', 'call', 'strong', 'generate', 'ion', 'familiar', 'unpleasant']",0.0
3387,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The nature of HCl is such that its reaction with water as just described is                    essentially 100% efficient: Virtually every HCl molecule that dissolves in water                    will undergo this reaction. Acids that completely react in this fashion are                    called                         strong acids                                                                                    acids that reacts completely when dissolved in water to yield                                    hydronium ions                                                                        , and HCl is one among just a handful of common acid compounds that are                    classified as strong, as seen in the table below. A far greater number of                    compounds behave as                         weak acids                                                                                    acids that reacts only to a slight extent when dissolved in water                                    to yield hydronium ions                                                                         and only partially react with water, leaving a large majority of                    dissolved molecules in their original form and generating a relatively small                    amount of hydronium ions. Weak acids are commonly encountered in nature, being                    the substances partly responsible for the tangy taste of citrus fruits, the                    stinging sensation of insect bites, and the unpleasant smells associated with                    body odor. A familiar example of a weak acid is acetic acid, the main ingredient                    in food vinegars:",What is one of just a handful of common acid compounds that are classified as strong?,"['extent', 'compound', 'small', 'acid', 'classify', 'common', 'citrus', 'behave', 'sting', 'undergo', 'acetic', 'dissolve', 'smell', 'molecule', 'taste', 'associate', 'reaction', 'describe', 'fruit', 'odor', 'food', 'hydronium', 'bite', 'nature', 'HCl', 'example', 'fashion', 'number', 'slight', 'vinegar', 'table', 'original', 'leave', 'insect', 'responsible', 'encounter', 'tangy', 'react', 'see', 'weak', 'main', 'yield', 'sensation', 'great', 'water', 'large', 'form', 'substance', '%', 'efficient', 'majority', 'handful', 'ingredient', 'body', 'call', 'strong', 'generate', 'ion', 'familiar', 'unpleasant']",1.9999999999999998
3388,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The nature of HCl is such that its reaction with water as just described is                    essentially 100% efficient: Virtually every HCl molecule that dissolves in water                    will undergo this reaction. Acids that completely react in this fashion are                    called                         strong acids                                                                                    acids that reacts completely when dissolved in water to yield                                    hydronium ions                                                                        , and HCl is one among just a handful of common acid compounds that are                    classified as strong, as seen in the table below. A far greater number of                    compounds behave as                         weak acids                                                                                    acids that reacts only to a slight extent when dissolved in water                                    to yield hydronium ions                                                                         and only partially react with water, leaving a large majority of                    dissolved molecules in their original form and generating a relatively small                    amount of hydronium ions. Weak acids are commonly encountered in nature, being                    the substances partly responsible for the tangy taste of citrus fruits, the                    stinging sensation of insect bites, and the unpleasant smells associated with                    body odor. A familiar example of a weak acid is acetic acid, the main ingredient                    in food vinegars:",How many compounds behave as weak acids acids that react to a slight extent when dissolved in water?,"['extent', 'compound', 'small', 'acid', 'classify', 'common', 'citrus', 'behave', 'sting', 'undergo', 'acetic', 'dissolve', 'smell', 'molecule', 'taste', 'associate', 'reaction', 'describe', 'fruit', 'odor', 'food', 'hydronium', 'bite', 'nature', 'HCl', 'example', 'fashion', 'number', 'slight', 'vinegar', 'table', 'original', 'leave', 'insect', 'responsible', 'encounter', 'tangy', 'react', 'see', 'weak', 'main', 'yield', 'sensation', 'great', 'water', 'large', 'form', 'substance', '%', 'efficient', 'majority', 'handful', 'ingredient', 'body', 'call', 'strong', 'generate', 'ion', 'familiar', 'unpleasant']",1.7647058823529413
3389,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,acids that reacts completely when dissolved in water to yield                                    hydronium ions,What acid reacts completely when dissolved in water to yield hydronium ions?,"['acid', 'hydronium', 'react', 'ion', 'dissolve', 'yield', 'water']",0.0
3390,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,acids that reacts only to a slight extent when dissolved in water                                    to yield hydronium ions,What type of acid reacts only to a slight extent when dissolved in water to yield hydronium ions?,"['extent', 'acid', 'hydronium', 'react', 'slight', 'ion', 'dissolve', 'yield', 'water']",0.1764705882352941
3391,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"When dissolved in water under typical conditions, only about 1% of acetic acid                    molecules are present in the ionized form,                        CH3CO2 . (The use of a double-arrow in the                    equation above denotes the partial reaction aspect of this process, a concept                    addressed fully later in this course).",How much of acetic acid molecules are present in the ionized form?,"['denote', 'ionize', 'concept', 'double', 'acid', 'condition', 'acetic', 'dissolve', 'present', 'molecule', 'reaction', 'course', 'process', 'arrow', 'ch3co2', 'equation', 'water', 'form', 'use', '%', 'typical', 'aspect', 'address', 'partial']",0.0
3392,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"When dissolved in water under typical conditions, only about 1% of acetic acid                    molecules are present in the ionized form,                        CH3CO2 . (The use of a double-arrow in the                    equation above denotes the partial reaction aspect of this process, a concept                    addressed fully later in this course).",What does the use of a double-arrow indicate?,"['denote', 'ionize', 'concept', 'double', 'acid', 'condition', 'acetic', 'dissolve', 'present', 'molecule', 'reaction', 'course', 'process', 'arrow', 'ch3co2', 'equation', 'water', 'form', 'use', '%', 'typical', 'aspect', 'address', 'partial']",1.25
3393,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"A                                 base                                                                                                            substance that produces OH when dissolved in                                            water                                                                                                 is a substance that will dissolve in water to yield hydroxide                            ions, OH. The most common bases are ionic compounds composed                            of alkali or alkaline earth metal cations (groups 1 and 2) combined with                            the hydroxide ionfor example, NaOH and Ca(OH)2. When these                            compounds dissolve in water, hydroxide ions are released directly into                            the solution. For example, KOH and Ba(OH)2 dissolve in water                            and dissociate completely to produce cations (K+ and                                Ba2+, respectively) and hydroxide ions, OH.                            These bases, along with other hydroxides that completely dissociate in                            water, are considered                                 strong bases                                                                                                            bases that reacts completely when dissolved in water to                                            yield hydroxide ions                                                                                                .",What is a base substance that produces OH when dissolved in water?,"['alkaline', 'metal', 'compound', 'common', 'ionic', 'base', 'dissolve', 'compose', 'example', 'hydroxide', 'release', 'ionfor', 'consider', 'solution', 'react', 'basis', 'ba2', 'yield', 'substance', 'water', 'ba(oh)2', 'group', 'dissociate', 'cation', '+', 'combine', 'alkali', 'earth', 'oh', 'strong', 'ion', 'produce']",1.2499999999999998
3394,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"A                                 base                                                                                                            substance that produces OH when dissolved in                                            water                                                                                                 is a substance that will dissolve in water to yield hydroxide                            ions, OH. The most common bases are ionic compounds composed                            of alkali or alkaline earth metal cations (groups 1 and 2) combined with                            the hydroxide ionfor example, NaOH and Ca(OH)2. When these                            compounds dissolve in water, hydroxide ions are released directly into                            the solution. For example, KOH and Ba(OH)2 dissolve in water                            and dissociate completely to produce cations (K+ and                                Ba2+, respectively) and hydroxide ions, OH.                            These bases, along with other hydroxides that completely dissociate in                            water, are considered                                 strong bases                                                                                                            bases that reacts completely when dissolved in water to                                            yield hydroxide ions                                                                                                .",What are the most common ionic compounds composed of?,"['alkaline', 'metal', 'compound', 'common', 'ionic', 'base', 'dissolve', 'compose', 'example', 'hydroxide', 'release', 'ionfor', 'consider', 'solution', 'react', 'basis', 'ba2', 'yield', 'substance', 'water', 'ba(oh)2', 'group', 'dissociate', 'cation', '+', 'combine', 'alkali', 'earth', 'oh', 'strong', 'ion', 'produce']",0.0
3395,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"A                                 base                                                                                                            substance that produces OH when dissolved in                                            water                                                                                                 is a substance that will dissolve in water to yield hydroxide                            ions, OH. The most common bases are ionic compounds composed                            of alkali or alkaline earth metal cations (groups 1 and 2) combined with                            the hydroxide ionfor example, NaOH and Ca(OH)2. When these                            compounds dissolve in water, hydroxide ions are released directly into                            the solution. For example, KOH and Ba(OH)2 dissolve in water                            and dissociate completely to produce cations (K+ and                                Ba2+, respectively) and hydroxide ions, OH.                            These bases, along with other hydroxides that completely dissociate in                            water, are considered                                 strong bases                                                                                                            bases that reacts completely when dissolved in water to                                            yield hydroxide ions                                                                                                .","When ion compounds dissolve in water, what is released directly into the solution?","['alkaline', 'metal', 'compound', 'common', 'ionic', 'base', 'dissolve', 'compose', 'example', 'hydroxide', 'release', 'ionfor', 'consider', 'solution', 'react', 'basis', 'ba2', 'yield', 'substance', 'water', 'ba(oh)2', 'group', 'dissociate', 'cation', '+', 'combine', 'alkali', 'earth', 'oh', 'strong', 'ion', 'produce']",0.0
3396,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,substance that produces OH when dissolved in                                            water,What is the substance that produces OH when dissolved in water?,"['oh', 'produce', 'dissolve', 'substance', 'water']",0.0
3397,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,bases that reacts completely when dissolved in water to                                            yield hydroxide ions,What is a base that reacts completely when dissolved in water to yield hydroxide ions?,"['ion', 'react', 'basis', 'hydroxide', 'dissolve', 'yield', 'water']",0.2
3398,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,Consider as an example the dissolution of lye (sodium hydroxide) in                            water:,What type of hydroxide does lye contain?,"['dissolution', 'sodium', 'lye', 'example', 'consider', 'water']",0.0
3399,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,Consider as an example the dissolution of lye (sodium hydroxide) in                            water:,What is an example of a dissolution of sodium in water?,"['dissolution', 'sodium', 'lye', 'example', 'consider', 'water']",0.2
3400,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"This equation confirms that sodium hydroxide is a base. When dissolved in                            water, NaOH dissociates to yield Na+ and OH ions.                            This is also true for any other ionic compound containing hydroxide                            ions. Since the dissociation process is essentially complete when ionic                            compounds dissolve in water under typical conditions, NaOH and other                            ionic hydroxides are all classified as strong bases.",What is a base of sodium hydroxide?,"['compound', 'classify', 'contain', 'sodium', 'condition', 'ionic', 'base', 'true', 'dissociation', 'dissolve', 'complete', 'process', 'hydroxide', 'Na+', 'basis', 'yield', 'equation', 'naoh', 'confirm', 'water', 'dissociate', 'typical', 'oh', 'strong', 'ion']",1.571428571428571
3401,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"This equation confirms that sodium hydroxide is a base. When dissolved in                            water, NaOH dissociates to yield Na+ and OH ions.                            This is also true for any other ionic compound containing hydroxide                            ions. Since the dissociation process is essentially complete when ionic                            compounds dissolve in water under typical conditions, NaOH and other                            ionic hydroxides are all classified as strong bases.","When dissolved in water, NaOH dissociates to yield what?","['compound', 'classify', 'contain', 'sodium', 'condition', 'ionic', 'base', 'true', 'dissociation', 'dissolve', 'complete', 'process', 'hydroxide', 'Na+', 'basis', 'yield', 'equation', 'naoh', 'confirm', 'water', 'dissociate', 'typical', 'oh', 'strong', 'ion']",0.0
3402,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"This equation confirms that sodium hydroxide is a base. When dissolved in                            water, NaOH dissociates to yield Na+ and OH ions.                            This is also true for any other ionic compound containing hydroxide                            ions. Since the dissociation process is essentially complete when ionic                            compounds dissolve in water under typical conditions, NaOH and other                            ionic hydroxides are all classified as strong bases.",What is the difference between Na+ and OH ions?,"['compound', 'classify', 'contain', 'sodium', 'condition', 'ionic', 'base', 'true', 'dissociation', 'dissolve', 'complete', 'process', 'hydroxide', 'Na+', 'basis', 'yield', 'equation', 'naoh', 'confirm', 'water', 'dissociate', 'typical', 'oh', 'strong', 'ion']",0.0
3403,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"Unlike ionic hydroxides, some compounds produce hydroxide ions when                            dissolved by chemically reacting with water molecules. In all cases,                            these compounds react only partially and so are classified as                                 weak bases                                                                                                            bases that reacts only to a slight extent when dissolved                                            in water to yield hydroxide ions                                                                                                . These types of compounds are also abundant in nature and                            important commodities in various technologies. For example, global                            production of the weak base ammonia is typically well over 100 metric                            tons annually, being widely used as an agricultural fertilizer, a raw                            material for chemical synthesis of other compounds, and an active                            ingredient in household cleaners. When dissolved in water, ammonia                            reacts partially to yield hydroxide ions, as shown here:",What type of compounds produce hydroxide ions when dissolved by chemically reacting with water molecules?,"['extent', 'compound', 'case', 'classify', 'type', 'ionic', 'base', 'commodity', 'dissolve', 'technology', 'molecule', 'raw', 'important', 'nature', 'example', 'slight', 'hydroxide', 'fertilizer', 'household', 'agricultural', 'show', 'production', 'cleaner', 'react', 'weak', 'basis', 'metric', 'yield', 'global', 'water', 'abundant', 'ton', 'synthesis', 'ammonia', 'chemical', 'active', 'ingredient', 'ion', 'material', 'produce']",0.0
3404,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"Unlike ionic hydroxides, some compounds produce hydroxide ions when                            dissolved by chemically reacting with water molecules. In all cases,                            these compounds react only partially and so are classified as                                 weak bases                                                                                                            bases that reacts only to a slight extent when dissolved                                            in water to yield hydroxide ions                                                                                                . These types of compounds are also abundant in nature and                            important commodities in various technologies. For example, global                            production of the weak base ammonia is typically well over 100 metric                            tons annually, being widely used as an agricultural fertilizer, a raw                            material for chemical synthesis of other compounds, and an active                            ingredient in household cleaners. When dissolved in water, ammonia                            reacts partially to yield hydroxide ions, as shown here:",What is the global production of weak base ammonia?,"['extent', 'compound', 'case', 'classify', 'type', 'ionic', 'base', 'commodity', 'dissolve', 'technology', 'molecule', 'raw', 'important', 'nature', 'example', 'slight', 'hydroxide', 'fertilizer', 'household', 'agricultural', 'show', 'production', 'cleaner', 'react', 'weak', 'basis', 'metric', 'yield', 'global', 'water', 'abundant', 'ton', 'synthesis', 'ammonia', 'chemical', 'active', 'ingredient', 'ion', 'material', 'produce']",0.0
3405,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"Unlike ionic hydroxides, some compounds produce hydroxide ions when                            dissolved by chemically reacting with water molecules. In all cases,                            these compounds react only partially and so are classified as                                 weak bases                                                                                                            bases that reacts only to a slight extent when dissolved                                            in water to yield hydroxide ions                                                                                                . These types of compounds are also abundant in nature and                            important commodities in various technologies. For example, global                            production of the weak base ammonia is typically well over 100 metric                            tons annually, being widely used as an agricultural fertilizer, a raw                            material for chemical synthesis of other compounds, and an active                            ingredient in household cleaners. When dissolved in water, ammonia                            reacts partially to yield hydroxide ions, as shown here:","When dissolved in water, what reacts partially to yield ions?","['extent', 'compound', 'case', 'classify', 'type', 'ionic', 'base', 'commodity', 'dissolve', 'technology', 'molecule', 'raw', 'important', 'nature', 'example', 'slight', 'hydroxide', 'fertilizer', 'household', 'agricultural', 'show', 'production', 'cleaner', 'react', 'weak', 'basis', 'metric', 'yield', 'global', 'water', 'abundant', 'ton', 'synthesis', 'ammonia', 'chemical', 'active', 'ingredient', 'ion', 'material', 'produce']",0.0
3406,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,bases that reacts only to a slight extent when dissolved                                            in water to yield hydroxide ions,What does a base react to when dissolved in water to yield hydroxide ions?,"['extent', 'ion', 'react', 'slight', 'basis', 'hydroxide', 'dissolve', 'yield', 'water']",0.23076923076923078
3407,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,bases that reacts only to a slight extent when dissolved                                            in water to yield hydroxide ions,What is the name of the base that reacts only to a slight extent?,"['extent', 'ion', 'react', 'slight', 'basis', 'hydroxide', 'dissolve', 'yield', 'water']",0.23076923076923078
3408,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"This is, by definition, an acid-base reaction, in this case involving the                            transfer of H+ ions from water molecules to ammonia                            molecules. Under typical conditions, only about 1% of the dissolved                            ammonia is present as NH4+ ions.",What is an acid-base reaction?,"['molecule', 'reaction', 'present', 'case', 'ammonia', 'involve', 'acid', 'typical', 'h+', '%', 'condition', 'nh4', 'definition', 'transfer', 'base', 'ion', 'dissolve', 'water']",0.0
3409,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"This is, by definition, an acid-base reaction, in this case involving the                            transfer of H+ ions from water molecules to ammonia                            molecules. Under typical conditions, only about 1% of the dissolved                            ammonia is present as NH4+ ions.",How much of the dissolved ammonia is present as NH4+ ions?,"['molecule', 'reaction', 'present', 'case', 'ammonia', 'involve', 'acid', 'typical', 'h+', '%', 'condition', 'nh4', 'definition', 'transfer', 'base', 'ion', 'dissolve', 'water']",0.0
3410,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The chemical reactions described in which acids and bases dissolved in                            water produce hydronium and hydroxide ions, respectively, are, by                            definition, acid-base reactions. In these reactions, water serves as                            both a solvent and a reactant. A neutralization reaction is a specific                            type of acid-base reaction in which the reactants are an acid and a                            base, the products are often a salt and water, and neither reactant is                            the water itself:",What is the chemical reaction described in which acids and bases dissolved in water produce hydronium and hydroxide ions?,"['acid', 'type', 'definition', 'solvent', 'base', 'dissolve', 'reaction', 'describe', 'hydronium', 'hydroxide', 'salt', 'product', 'reactant', 'basis', 'specific', 'water', 'neutralization', 'chemical', 'serve', 'ion', 'produce']",0.0
3411,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"The chemical reactions described in which acids and bases dissolved in                            water produce hydronium and hydroxide ions, respectively, are, by                            definition, acid-base reactions. In these reactions, water serves as                            both a solvent and a reactant. A neutralization reaction is a specific                            type of acid-base reaction in which the reactants are an acid and a                            base, the products are often a salt and water, and neither reactant is                            the water itself:",What is a reaction called in which the reactants are an acid and a base?,"['acid', 'type', 'definition', 'solvent', 'base', 'dissolve', 'reaction', 'describe', 'hydronium', 'hydroxide', 'salt', 'product', 'reactant', 'basis', 'specific', 'water', 'neutralization', 'chemical', 'serve', 'ion', 'produce']",0.6428571428571427
3412,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"To illustrate a neutralization reaction, consider what happens when a                            typical antacid such as milk of magnesia (an aqueous suspension of solid                                Mg(OH)2 is ingested to ease symptoms associated with                            excess stomach acid (HCl):",What does milk of magnesia contain?,"['symptom', 'acid', 'suspension', 'ingest', 'aqueous', 'associate', 'reaction', 'illustrate', 'excess', 'HCl', 'happen', 'milk', 'consider', 'stomach', 'mg(oh)2', 'antacid', 'neutralization', 'solid', 'typical', 'ease']",0.0
3413,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"To illustrate a neutralization reaction, consider what happens when a                            typical antacid such as milk of magnesia (an aqueous suspension of solid                                Mg(OH)2 is ingested to ease symptoms associated with                            excess stomach acid (HCl):",What is a aqueous suspension of solid Mg(OH)2?,"['symptom', 'acid', 'suspension', 'ingest', 'aqueous', 'associate', 'reaction', 'illustrate', 'excess', 'HCl', 'happen', 'milk', 'consider', 'stomach', 'mg(oh)2', 'antacid', 'neutralization', 'solid', 'typical', 'ease']",1.375
3414,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"Note that in addition to water, this reaction produces a salt, magnesium                            chloride.","In addition to water, what does this reaction produce?","['reaction', 'addition', 'magnesium', 'salt', 'note', 'produce', 'water']",0.0
3415,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,"Note that in addition to water, this reaction produces a salt, magnesium                            chloride.",What is a salt called?,"['reaction', 'addition', 'magnesium', 'salt', 'note', 'produce', 'water']",1.0
3416,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,Write balanced chemical equations for the acid-base reaction for the                                following reaction:,What are the chemical equations for the acid-base reaction?,"['balanced', 'follow', 'reaction', 'chemical', 'write', 'acid', 'base', 'equation']",0.0
3417,Reactions and Stoichiometry,Chemical Reactions and Equations,Acid-Base Reactions,,The weak acid hydrogen hypochlorite reacts with water.,What does the weak acid hydrogen hypochlorite react with?,"['acid', 'hydrogen', 'react', 'hypochlorite', 'weak', 'water']",0.0
