,source,target,edge
2705,us,different  reactions,allows
2706,stepwise enthalpy change,various enthalpy steps,equals
2707,it,finish,depend
2708,we,two step process,think of
2709,enthalpy change,enthalpy steps,is
2710,two enthalpy result,diagram,shown in
2711,overall  it,one  step,see
2712,finding,chemical reaction processes,is true
2713,further Hesss us,important  \xceH.,let
2714,\xceH,directly  reactants,is
2715,then enthalpy change,same  number,be
2716,\xceH,reverse  direction,is equal
2717,enthalpy,FeCl3(s,is
2718,manipulation,equations,add
2719,Here  we,such  examples,look at
2720,they,reaction,Use
2721,first  ClF(g,reactant,see
2722,F2,also  reactant,see
2723,we,given  reaction,check
2724,,slides,Press
2725,various  elements,similar chemical behaviors,realized
2726,elements,similar chemical properties,includes
2727,which,good chemical common,includes
2728,specific  properties,notably  other,are
2729,Ba form,one oxygen atom,are
2730,similar  properties,drastically  elements,are
2731,Dimitri Mendeleev,periodic Lothar time,recognized
2732,Both,atomic  mass,published
2733,that,similar  aluminum,used
2734,discoveries,great Mendeleevs work,provided great
2735,contributions,periodic  table,are
2736,periodic  relationship,atomic  masses,became apparent
2737,periodic  properties,atomic  numbers,are periodic
2738,periodic  table,vertical  column,arranges
2739,elements,horizontal  rows,arranged in
2740,Groups,column,labeled at
2741,United labels,traditionally capital letters,were
2742,labels,18,recommends
2743,single  parts,main  table,written below
2744,You,frequently  course,using
2745,link,next  one,be at
2746,periodic  table,separate  tab,open
2747,good  you,given  module,be
2748,periodic  most,hundredths place,rounded
2749,online  you,paper which,are many
2750,whatever,best  you,Use
2751,chemical  elements,behaviors,differ
2752,ductile,heat,are
2753,Other  elements,poor  heat,are
2754,electricityshaded  that,nonmetalsshaded  purple,sort
2755,bottom row elements,two transition table,are actinides
2756,such  they,such  compounds,subdivided
2757,that,one  hydrogen,compounds
2758,alkali  they,similar chemical properties,known as alkali
2759,two  These,similar alkaline earth group,called
2760,Other  groups,inert  gases,are
2761,first  chalcogens,first  example,called
2762,Hydrogen,similar  group,is
2763,hydrogen,itself,shown at
2764,,4.0 Creative Commons License,Adapted from
2765,,,Download for free
2766,amount,gaseous ground state,called
2767,\\ \\ energy,bound  electron,called
2768,,third ionization energy,\\ \\mathrm{IE}_2
2769,IE values,always  atoms,required
2770,bound  electron,farther  thenucleus,located
2771,atomic theionization energy,atomic  increases,decrease
2772,first ionization energies,period,expect first
2773,graph,several thefirst ionization elements,shows
2774,values,periodic firstionization graph,given in periodic
2775,IE1,increasing  Z.,increases with
2776,IE value,increasing  Z.,decreases with
2777,,trend,are
2778,even  nuclearcharge,one  proton,Note
2779,energy ofthe subshells,penetration,explained
2780,one s electrons,pelectrons,are lower
2781,s electron,same  shell,means
2782,nuclear ionization charge,first ionization boron,resultsin
2783,new  subshell,predicted  trend,see
2784,orbitals,,occurs
2785,favorable).Analogous  changes,periods,see
2786,Removing,greaterelectrostatic  cation,is moredifficult
2787,Likewise  removing,lower  charge,is
2788,successive ionization energies,oneelement,increase
2789,,large theionization element,is
2790,core which,valenceelectrons,corresponds
2791,so therapid increase,third ionization ionization,occurs after
2792,,4.0 Creative Commons License,Adapted from
2793,,,Download for free
2794,electromagnetic  scientists,nineteenth  atoms,paradox within
2795,sufficiently  they,excess  light,radiate
2796,unbroken  series,wavelengths,have
2797,Most,fashion,produced in
2798,You,present  them,see
2799,that,human  eye,contains
2800,also  that,visible  light,give
2801,continuous  light,such line figure,occur as discrete
2802,,electrical line spectra,produce
2803,light  bulbs,neon way,operate in
2804,spectra,characteristic  lines,displays
2805,single  which,discrete gas energies,consists of
2806,separate H we,pink  color,broken
2807,line light,visible  figure,produces
2808,unique line which,element,has
2809,image,several line elements,shows
2810,Compounds,individual line elements,produce unique
2811,video,different line substances,shows
2812,individual  frequencies,light,Note
2813,continuous  spectra,electromagnetic  theory,was
2814,empirical  that,whole hydrogen integers,was able
2815,discrete  lines,UV hydrogen regions,found in
2816,where  n1,visible  range,developed
2817,Rydberg constant,high  accuracy,was
2818,eventual Neils that,modern quantum mechanics,seemed astounding
2819,,Creative Commons Attribution,Adapted from
2820,,,Download for free
2821,ideal gas law,density formula gas,beenapplied to
2822,however  behavior,accurately gas laws,is
2823,reasons,ideal gas behavior,considered
2824,volume,gas particles,assumes
2825,isnegligible gas gas,isnegligible gas that,made because
2826,volume,larger  container,Observe in
2827,Therefore  gases,Therefore  pressureincreases,become
2828,Gas volumes,actual gas equation volume,larger than
2829,pressure,difference,willbecome greater
2830,difference,10  atm,becomes
2831,University PhET graph,K  pressures,developed from
2832,that,given  gases,Note
2833,,ideal gas law increases,differencebetween
2834,gases,ideal gas law,shows
2835,KMT,also  particles,assumes
2836,,practical  purposes,is for practical
2837,attractive gas particles,higher  temperatures,forcesbetween
2838,particles,,begin
2839,attractive  forces,,become
2840,attractive  forces,so gaswill liquid,become
2841,temperature,gas particlesmove,decreases
2842,betweenthe particles,,become
2843,attractive  forces,condenseinto  liquid,become
2844,https://phet.colorado.edu PhET Attractions,attractive gaswhose forces,experience
2845,attractive  forceswill,ideal container gas,decrease
2846,,4.0 Creative Commons License,Adapted from
2847,,,Download for free
2848,individual  gases,pressure,affect
2849,it,alone  container,gas in
2850,pressure,individual  mixture,called
2851,observation,partial Daltons pressures,summarized by
2852,partial gas PC,partial gas C,is
2853,respectively gas nTotal,mixture,\\frac{n_A}{n_{Total
2854,partial  pressures,gases,contains
2855,total  pressure,atmospheres,is
2856,total \\cancel{\\mathrm{mol^{-1}}}\\ \\cancel{\\mathrm{K^{-1}}})(308 pressure,Here mole fraction calculations,is
2857,gas mixture,nitrous  oxide,contains
2858,total  pressure,mixture,is
2859,mole fractions,O2,are
2860,partial  pressures,O2,are
2861,mole fraction,XA,given by
2862,8.41  \\mathrm{mol,143.6 Creative Commons Attribution,\imes
2863,,,Download for free
2864,theoretical chemical that,given reaction reaction,called
2865,actual  it,theoretical  reasons,called
2866,inherently side that,other  products,are
2867,products,actual  yield,are difficult
2868,theoretical  yield,theoretical percent yield,expressed as
2869,0.392 percent yield,0.392 copper equation,is
2870,copper limiting,copper sulfate,identifies
2871,amount,limiting  reactant,is
2872,actual percent yield,Creative Commons Attribution,calculated
2873,,,Download for free
2874,previous  variation,equilibrium vapor temperature,described
2875,how boiling point,pressure,represent
2876,,freezing substances point,described
2877,wide  that,graphically phase diagram,yields
2878,phase diagram,solid phase transition substance,combines
2879,physical  that,also phase transition points,indicate
2880,typical phase diagram,pure  substance,shown
2881,phase,water,consider
2882,,more  information,Click through
2883,We,specified phase pressure,use
2884,50 C water,solid  ice,exists
2885,50 cwaterd water,only  liquid,exists
2886,200  water,gaseous  state,exists
2887,H2O phase pressure,important temperature features,Note
2888,phase,below carbon example,Consider
2889,it,most  substances,exhibits
2890,1 carbon dioxide,ambient pressure conditions,Notice
2891,,solid atm state,cooling gaseous
2892,solid carbon dioxide,gaseous atm CO2,melt at
2893,critical  point,modest carbon water,notice
2894,we,0.03 water atm,left with
2895,distinct  boundary,dense  liquid,observed
2896,pressure,liquid phase phases,remains
2897,374 vapor pressure,liquid temperature phases,risen to
2898,physical  properties,gaseous  states,is
2899,phase,which,called
2900,much  pressure,critical  temperature,liquefied
2901,pressure,critical  temperature,called
2902,critical  temperatures,common  table,given in
2903,,4.0 Creative Commons License,Adapted from
2904,,,Download for free
2905,various  we,common  behavior,interact with
2906,they,information,say
2907,they,fists,say
2908,likewise  it,common chemical reactivity,found
2909,module,chemical  reactions,provide
2910,dissolved  substances,solid  products,is
2911,Many  reactions,double  displacement,involve
2912,reactions,coral kidney animals,are common
2913,They,commodity specialty chemicals,used
2914,Precipitation reactions,gravimetric metal matter,play
2915,,below precipitation reaction,Watch
2916,maximum  that,specified  conditions,reaction
2917,Substances,large  solubilities,said
2918,concentration,solubility,precipitate
2919,that,readily  solution,said
2920,More  information,later  course,provided
2921,simply  that,ionic  compounds,refer to
2922,they,possible  cations,cover
2923,It,good  guidelines,is
2924,a AgNO3 Nitrates,following  compounds,Determine
2925,that,cation,are insoluble
2926,precipitation reaction,ionic  compounds,use
2927,insoluble solubility compound,general iodide salts,is lead
2928,yellow  that,formerly artists iodine,is
2929,pure PbI2 them,ray gamma ray detectors,make
2930,cation anion pairing,insoluble  compound,needs
2931,mixing,nitrate  Ag+,yield
2932,ionic  compounds,ions,derived from
2933,AgF,general fluoride salts,indicate
2934,precipitation reaction,ionic  compounds,Predict
2935,precipitation,ionic  reaction,write
2936,possible  precipitate,possible  products,sulfate
2937,reaction,BaSO4,form
2938,ionic  equation,ionic  compounds,is
2939,precipitation,ionic  reaction,write
2940,reaction,,occurs
2941,aqueous  solutions,present  reactants,remain unchanged
2942,reaction,,occur
2943,,slideshow,Press
2944,,4.0 Creative Commons License,Adapted from
2945,,,Download for free
2946,when restraining surroundings,system,occurs
2947,example,internal combustion engine,occurs during
2948,reaction,gasoline,is exothermic
2949,some,cylinder,given
2950,engine,universe,are
2951,system,surroundings,loses
2952,times  engine,times  second,is able
2953,w,surroundings,calculated with
2954,results,as  measurement,is
2955,We,calculated  results,take
2956,subtract we,certain  addition,round
2957,we,multiplication  division,round
2958,,,Multiply
2959,we,4.11708  cm2,get
2960,certain  measurement,significant  figures,has
2961,final  answer,significant  figures,rounded to
2962,final  answer,significant  figures,rounded to
2963,,48  mL.,Divide
2964,we,g  mL.,get
2965,certain  measurement,significant  figures,has
2966,final  answer,significant  figures,rounded to
2967,final  answer,significant  figures,rounded to
2968,calculated  result,certain  calculation,is important
2969,,4.0 Creative Commons License,Adapted from
2970,,,Download for free
2971,small  salt,small  water,Imagine
2972,salt concentration,solute solute solute solvent,repeat
2973,undissolved  salt,solution,remains
2974,concentration,solubility,known as
2975,dissolution  process,equilibrium,is
2976,solution,solute,said
2977,solution,solubility,said
2978,low  one,high  concentration,called
2979,more,bottom,see
2980,added  salt,dissolution  equation,dissolve
2981,dissolved  salt,reverse  equation,precipitate
2982,so  amount,undissolved  salt,said
2983,solute concentration,solubility,prepared in
2984,they,interesting nonequilibrium states,said
2985,it,equilibrium value,decrease
2986,video,supersaturated sodium acetate,shown
2987,,4.0 Creative Commons License,Adapted from
2988,,,Download for free
2989,also  electron,also  space,are
2990,Orbitals,Schrdinger atoms,are
2991,electron spin,different  property,is
2992,It,classical  realm,is
2993,it,such Schrdinger x,derived from
2994,even  rotation,spatial  coordinates,describes
2995,one electron electron,quantized  states,have
2996,z component,positive z axis,termed
2997,This,spin quantum number,corresponds to
2998,z component,spin,called
2999,atomic  it,two spin quantum number,have
3000,magnetic  field,ms  \\(\\\,are different
3001,image,below  phenomenon,illustrates
3002,electron,tiny  magnet,acts like
3003,moment,negative spin quantum \\(\\\,directed
3004,higher  energy,applied  field,has
3005,positive z electron,same  field,is
3006,even  electron,same  atom,is true
3007,thus spin quantum line,fine structure splitting,show
3008,electron,four quantum numbers,ms
3009,fourth quantum number,intrinsic electron property,define
3010,last  we,general  atoms,formulated
3011,two  electrons,four quantum numbers,have
3012,ms,different  values,is
3013,same  they,opposite  spins,occupy
3014,atomic  orbital,only  zero,populated by
3015,,Creative Commons Attribution,Adapted from
3016,,,Download for free
3017,that,mass,is
3018,smallest  that,same  elements,is
3019,many  atoms,molecules,combined into
3020,matter,variable  shape,exists in
3021,high temperature matter,also  plasma,exist as
3022,two  that,physical  means,composed of
3023,homogeneous  mixtures,same  point,have
3024,Pure  substances,one  matter,consist of
3025,chemical  which,two  atoms,be
3026,substances,physical  changes,have distinct
3027,Physical  properties,such boiling matter,involve
3028,rusting chemical that,present,involve
3029,instructor,that,evaluate
3030,questions,material,be for
3031,self evaluation,also  class,shape
3032,responses,instructor,graded
3033,,4.0 Creative Commons License,Adapted from
3034,,,Download for free
3035,beryllium atom,three BeCl2 atoms,is
3036,two BeCl2 that,two covalent BeCl bonds,are
3037,four valence orbitals,hybrid  orbitals,mix
3038,equivalent hybrid that,linear  geometry,involves
3039,set,p sp orbital,appears similar
3040,number,hybrid  orbitals,equals
3041,one  that,two  electrons,is
3042,equivalent  that,other,is
3043,two sp which,two sp orbitals,distributed to
3044,hybrid  orbitals,identical chlorine bonds,overlap with
3045,We,orbital energy level diagram,illustrate
3046,diagrams,horizontal  arrow,represent
3047,Energy,diagram,increases toward
3048,We,opposite  spin,use
3049,valence electrons,created  orbitals,occupy
3050,two valence each,sp electrons,had
3051,Each,orbital BeCl bonds,pairs
3052,central  atom,two valence electron hybridization,exhibit
3053,linear zinc which,linear carbon CO2,include
3054,,three sp2 hybrid orbitals,orbitals of
3055,arrangement,planar hybrid geometry,results from
3056,sometimes  orbitals,given  illustration,drawn thinner
3057,true cthinnerd view,cthinnerd representations,use
3058,observed  structure,sp2 compound,suggests
3059,trigonal boron atom,three hydrogen atoms,is
3060,We,orbital energy level diagram,illustrate
3061,when BH bonds,hydrogen electron,redistribute
3062,central  atom,three sp2 hybridization,exhibit
3063,This,central  formaldehyde,includes
3064,valence orbitals,hybrid bonding orbitals,consist of
3065,three p that,hybrid  orbitals,result from
3066,Each,different  tetrahedron,points toward
3067,molecule,four hydrogen tetrahedron,consists of
3068,carbon atom,sp3  hybridization,exhibits sp3
3069,We,bonded carbon CH4,illustrate
3070,when CH bonds,hybrid hydrogen electron,distributed
3071,1s methane orbital,sp3 carbon sigma,overlaps
3072,,equivalent methane molecule,results in
3073,carbon,tetrahedronthree hydrogen atoms,is similar
3074,one carbon overlaps,two carbon atoms,end to
3075,Each,hybrid carbonhydrogen bonds,overlaps
3076,,overall bonding ethane,structure
3077,orientation,relative CH3 other,fixed relative
3078,rotation,bonds,shows
3079,hybrid  orbital,lone  electrons,hold
3080,nitrogen atom,four bonding tetrahedron,surrounded by
3081,nitrogen atom,lone  pair,hybridized with
3082,molecular  structure,two bonding electrons,is consistent
3083,sp3  two,lone bonding pairs,say
3084,that,slightly bond ideal,have
3085,observed  angles,ammonia,have
3086,Other  examples,sp3  CCl4,include
3087,three d which,hybrid  orbitals,use
3088,three valence which,sp3d2 hybrid sp3d2 orbitals,use
3089,only  that,first valence period,are
3090,five phosphorus pairs,trigonal phosphorus bipyramid,are
3091,five hybrid that,PCl  bonds,use
3092,that,chlorine +,include
3093,electrons,fluorine clarity,omitted for
3094,sulfur atom,hexafluoride  hybridization,exhibits
3095,molecule,single sulfur atom,has
3096,,central  atom,are
3097,hybrid 3d each,different  octahedron,bond
3098,that,xenon XeF4,include
3099,Ammonium sulfate,fertilizer,is important
3100,hybridization,sulfate ion,is
3101,Lewis structure,four electron density,are
3102,hybridization,,is sp3
3103,,4.0 Creative Commons License,Adapted from
3104,,,Download for free
3105,atmospheric  lets,1  atm,say
3106,inside balloon amount,gas,gets cold
3107,when  it,great  deal,shrink
3108,temperature temperature,temperature increases,increases as
3109,Volume temperature data,1 methane atm,listed
3110,relationship,scientist Alexandre Csar Charles,known as
3111,when kelvin pressure,directly kelvin scale,states
3112,temperatures,gas law calculation,written as
3113,sample,10.0 carbon C,occupies
3114,gas,30.0  C,have at
3115,constant temperature this,Charless law,is
3116,,problem,Identify
3117,Next \\begin{array}{l}V_1\\;=\\;0.300\\;\\mathrm we,kelvin,need
3118,Now C\\;\ightarrow\\;\\;283.0\\;\\mathrm K\\\\\;=\\;?\\;\\;\\\\\;=\\;30.0\\;^\\circ\\mathrm we,V2,plug
3119,,4.0 Creative Commons License,Adapted from
3120,,,Download for free
3121,value,chemical substance,is
3122,Temperature T,equation,be in
3123,various  that,various  example,expressed in
3124,H_{vap}}R\\left(\{T_1}-\{T_2}\ight  Isooctane,"2,2,4 octane 100",rearranged
3125,It,octane rating gasoline,used as
3126,98.8 vapor pressure,98.8  C,is
3127,,isooctane,Use
3128,100 pressure temperature we,\xceHvap,substitute
3129,P temperature,Clausius Clapeyron equation,Note
3130,normal boiling point,80.1  vaporization,is
3131,boiling point,Denver,is
3132,30.8 pressure temperature that,30.8 pressure temperature temperature,kPa
3133,We,then Clausius Clapeyron T2,substitute
3134,physical  that,other  sample,is
3135,,known analyte concentration,measurements of
3136,quantitative chemical they,modern chemistry laboratory,were
3137,required  change,physical  processes,achieved by various
3138,analyte,precipitation reaction,is
3139,precipitate,typically reaction filtration,isolated
3140,mass,stoichiometric analyte amount,used
3141,,gravimetric analysis detail,Watch
3142,that,],shows
3143,25.00  mL,0.1425 PbI2 video,produced
3144,Pb2,unknown  solution,is
3145,,PbI2,Calculate
3146,,PbI2 precipitate,Calculate
3147,,+,Convert
3148,,25.00  Pb2,calculate
3149,solid  mixture,0.6168  BaSO4,dissolved in
3150,mass percent,mixture,is
3151,that,provided precipitate mass,Calculate
3152,,sample mixture,Calculate
3153,elemental  composition,gravimetric combustion analysis,determined via
3154,weighed combustion sample,known oxygen identities,heated to
3155,complete  combustion,only carbon products,yield
3156,separate collection that,selectively  figure,swept through separate
3157,mass increase,relevant  element,corresponds to
3158,schematic  diagram,carbon hydrogen sample,illustrates
3159,Polyethylene,food storage bags,is
3160,,0.00161 polyethylene H2O.,analysis of
3161,empirical  formula,polyethylene,is
3162,balanced y2\\;{\\mathrm equation,hand,Note
3163,subscripts  y,empirical  compound,derive
3164,,provided carbon dioxide,calculate
3165,empirical  formula,earlier  unit,written
3166,empirical O}\\;=\\;1.79\\;\^{-4}\\;\\mathrm{mol}\\;\\mathrm formula,molar number amounts,derived by
3167,empirical H}{1\\;\\mathrm{mol}\\;\\mathrm formula,polyethylene,is
3168,closely  measurement,correct  results,make
3169,they,same  manner,said
3170,that,true  value,considered
3171,accurate  values,true  value,agree with
3172,characterizationscan,such archery competition,extended to other
3173,threedifferent  that,296 syrup intostorage bottles,Suppose
3174,She,actual  results,proceeds
3175,target each,target 296mL,report
3176,2  volume,4  mL,is less
3177,dispenser,0.2 cough mL,report
3178,'s,theexercise,Let
3179,which,random  error,represent random
3180,Random  errorError,where  results,produced from
3181,when  results,observablepattern,occurs
3182,theaccepted  some,theaccepted  value,Notice
3183,Error,where  results,produced from
3184,measured  they,measured  values,wesee
3185,type,systematicerror,represents
3186,,Systematic  which,errorError in
3187,when  results,observablepattern,occurs
3188,Each,accepted  value,is less
3189,,which,Error in
3190,it,error,is oftenpossible
3191,she,error,be
3192,random  it,error,is difficult
3193,which,random  error,shows systematic
3194,,4.0 Creative Commons License,Adapted from
3195,,,Download for free
3196,reactant hydrogen ion,one chemical another,is
3197,chemical  that,essential scale society,are of central
3198,subject,later base course,discussed in
3199,acid base that,aqueous  solutions,consider
3200,when  that,hydronium ions,is
3201,hydrogen chloride,equation,confirms
3202,H+ ions,H2O molecules,produced by
3203,Virtually HCl dissolves,reaction,is such
3204,common acid that,strong  table,called
3205,weak acids that,small hydronium ions,behave as
3206,Weak  acids,unpleasant body odor,encountered in
3207,1 hydronium %,ionized  form,are present
3208,,later reaction course,use of
3209,when  that,hydroxide  ions,is
3210,common  bases,hydroxide ionfor example,are ionic
3211,hydroxide  ions,directly  solution,released
3212,KOH,completely  cations,dissolve in
3213,strong bases that,hydroxide  ions,considered
3214,sodium,hydroxide sodium water,confirms
3215,When  NaOH,Na+,dissociates
3216,This,hydroxide  ions,is
3217,typical  NaOH,strong  bases,classified as strong
3218,ionic  compounds,chemically water molecules,produce
3219,weak bases that,hydroxide  ions,react
3220,types,various  technologies,are
3221,global  production,active household cleaners,is
3222,hydroxide  This,acid ammonia molecules,bases
3223,1  %,NH4  ions,is present
3224,acids,acid base reactions,produce
3225,water,solvent,serves as
3226,excess stomach reaction,salt magnesium chloride,consider
3227,,acid hydrogen hypochlorite water,Write balanced
3228,two  reactants,,provided
3229,reaction,hydronium ions,involve
3230,weak  that,equation,is appropriate
3231,following base solution,nitric  acid,neutralized with
3232,two  reactants,,provided
3233,two neutralization products,ionic,be
3234,,4.0 Commons License,Adapted from
3235,,,Download for free
3236,even  electrons,continually  nucleus,established
3237,planetary  it,miniature csolar sun,called
3238,classical  it,electromagnetic  radiation,is incomplete
3239,atoms,nucleus,result in
3240,orbiting electromagnetisms electron,continuously  light,attempted
3241,energy,frequency,incorporated into
3242,it,different  orbit,assumed
3243,energy,orbital  energies,reflect
3244,discrete  values,these,assumed
3245,fundamental  Plancks,light,was able
3246,energies,image,seen in
3247,it,lowest  energy,Notice
3248,fundamental  matter,possible  energy,is
3249,orbit hydrogen it,lowest  energy,moves in
3250,electronic  electrons,simply  state,said
3251,higher n atom,higher ground state energy,is possible
3252,excited ground difference,photon,emitted as
3253,energy,excited energy one,moves
3254,we,previously  energy,state in
3255,we,energy,says
3256,same energy amount,initial electron state,liberated
3257,atom,lower electron state,cstored
3258,more  electron,second ground quantum,released as
3259,,Creative Commons Attribution,Adapted from
3260,,,Download for free
3261,same  we,apply,use
3262,later  calorimeter,minimizes energy surroundings,is
3263,energy,overall energy reaction,is
3264,concept,calorimetry problems,lies at
3265,28.9  What,approximate  reaction,reaches
3266,then  reaction,place,took
3267,28.9  heat,solution,is equal
3268,only  calorimeter,heat calorimeter,is important
3269,specific temperature we,reasonable  assumptions,know
3270,it,heat  values,proceed
3271,100.0  mL,1.0  g,has
3272,so g we,specific  solution,use
3273,reaction,reaction,indicates
3274,It,2.89  heat,produces
3275,heat,calorimeter,is
3276,accompanying heat that,solution,designed
3277,solid energy that,such combustion reactions,used
3278,enough  that,other  calorimeters,comes from
3279,robust steel that,image,consists of
3280,which,high  pressure,placed in
3281,electrical  spark,sample,used
3282,energy,steel bomb,trapped in
3283,temperature increase,known heat reaction,measured
3284,Bomb calorimeters,accurate heat results,require
3285,bomb this,qreaction,taken into
3286,commonly energy used,observed heat reaction,calculated by
3287,775  bomb,J heat C.,contains
3288,much  heat,glucose sample,produced by
3289,that,primarily  water,produces
3290,relatively reaction dealing,online  course,are
3291,We,calculations,neglect
3292,3.12  g,glucose,released
3293,molecular formulaA that,chemical molecule,representation of
3294,that,chemical molecule,is
3295,one  atom,given  type,used
3296,Molecular  formulas,also  compounds,used as
3297,that,chemical molecule,representation of
3298,how  atoms,molecule,shows
3299,how  atoms,molecule,gives
3300,structural  formula,four H molecule,contains
3301,that,atoms,represent
3302,that,together  molecule,is
3303,We,how chemical molecule,discuss
3304,how  atoms,molecule,know
3305,filling  model,relative  atoms,shows
3306,how  atoms,molecule,shows
3307,molecules,two  element,exist
3308,elements that,molecular formulas H2,composed of
3309,Other  elements,diatomic  molecules,are
3310,molecular  formula,eight  sulfur,is
3311,same  H2,different  species,represent
3312,two  that,two  element,represents
3313,separate hydrogen that,unit,indicates
3314,2H2,diatomic  hydrogen,represents
3315,two  elements,chemically  bonds,formed
3316,chlorine,table salt,react
3317,empirical  which,whole number compound,describe
3318,titanium dioxide,empirical  TiO2,has
3319,This,element element titanium,identifies
3320,molecular  subscripts,actual  compound,describe
3321,molecular  formula,atomic  molecule,derived from
3322,experimentally  benzene,two carbon benzene,determined
3323,empirical  formula,,is
3324,molecular hydrogen formula,benzene,is
3325,compounds we,empirical  formula,determine
3326,reverse  chronology,actual  practice,followed in actual
3327,acetic  that,sharp  taste,is
3328,molecule,two carbon atoms,indicates
3329,ratio,atoms,is
3330,empirical number formula,whole number atoms,gives
3331,molecular  formula,empirical number formula,Note
3332,,4.0 Creative Commons License,Adapted from
3333,,,Download for free
3334,previous  we,useful measurement solutions,introduced
3335,However  molarity,one  concentration,is
3336,other  that,various  convention,introduce
3337,Earlier  we,given percent compound,introduced
3338,Percentages,commonly  solutions,used
3339,mass percentageratio,solute solution percentage,expressed as
3340,most mass it,mass  solvent,are
3341,Mass percentage,other weight theme,referred to by similar
3342,detailed percent symbols,often  mass,is
3343,Use,later volume section,prevent
3344,Mass percentages,popular consumer products,are popular
3345,label,active bleach ingredient,cites
3346,100.0 g sample,7.4  NaOCl,contain
3347,5.0 g sample,0.00375  glucose,contains
3348,percent,spinal  fluid,is
3349,mass units,dimensionless ratio,Note
3350,we,denominator,converted
3351,We,easily  mg,converted
3352,computed mass percentage,solute,be correct
3353,37.2 % that,commonly laboratory reagent,is
3354,density,solution,is
3355,mass,0.500  solution,contained in
3356,mass  we,corresponding  solution,need
3357,given solution we,given solute mass,convert
3358,Liquid  volumes,relatively laboratory equipment,measured
3359,concentration,solute volume percentage,expressed as
3360,solute  expressed,aqueous percentage Rubbing solution,sold as
3361,many isopropyl grams,rubbing mL alcohol,are present
3362,isopropanol volume volume,total solution volume,is
3363,Multiplying,requested Creative Commons Attribution,yields
3364,,,Download for free
3365,polar chemical molecules,other moleculea charge,Recall from
3366,,such hydrogen chloride,Consider
3367,electronegative H atom,positive  charge,bears
3368,,negative HCl another,force between
3369,attractive  force,negative dipole another,called
3370,when dipole dipole we,nonpolar F2 molecules,is apparent
3371,HCl,molecular  mass,consist of
3372,150  molecules,average  KE,have
3373,so F2 substance,temperature,are sufficient
3374,normal boiling point,nonpolar F2 molecules,is
3375,such  indicators,different  substances,use
3376,which,higher boiling point,Predict
3377,,reasoning,Explain
3378,28  they,similar London dispersion forces,experience
3379,polar  it,dipole dipole attractions,experiences
3380,molecules,dipole dipole attractions,exhibit
3381,so N2 CO,higher boiling point,expected
3382,,4.0 Creative Commons License,Adapted from
3383,,,Download for free
3384,EA,gaseous energy anion,is
3385,process,endothermic  element,\\mathrm{EA}_1
3386,EA,inperiodic  table,given inperiodic
3387,negatively  value,EA,required
3388,It,negative  EA,is important
3389,energy thesign,direction,indicates
3390,,more EA charge,values
3391,second  EA,ion,is
3392,it,nuclear  atomsincreases,becomes easier
3393,EAs,period,tend
3394,exceptions,electronic  groups,understood based
3395,higher n which,higher n level,have
3396,trend,higher energy np,afilled
3397,next  electron,existing  npelectron,filled np
3398,relative  stability,EA,disrupts
3399,these,nuclear  charges,suggest
3400,second  element,greatest  EA,seethat
3401,EA,large electronelectron repulsions,attributed to
3402,chlorine,periodic  table,has
3403,EAof fluorine,,is
3404,afluoride fluorine we,2  shell,add
3405,electron,small valence shell,isattracted to
3406,larger  region,space  repulsions,has
3407,asmuch chlorine atom,additional  electron,experience asmuch
3408,properties,electron affinities)are chemical reactivity,discussed in
3409,large energy it,fluorine cations,is mucheasier
3410,thatcan,conductivityand sheets,depend on
3411,that,away  nucleus,increases
3412,,4.0 Creative Commons License,Adapted from
3413,,,Download for free
3414,Energy,force,is
3415,potential  energy,relative  position,is
3416,one  energy,first  thermodynamics,created
3417,total,energy substance,called
3418,energy,system,change
3419,pressure volume change,internal  equation,calculated
3420,instructor,that,evaluate
3421,questions,material,be for
3422,self evaluation,also  class,shape
3423,responses,instructor,graded
3424,,4.0 Creative Commons License,Adapted from
3425,,,Download for free
3426,chemical structures,important  solubility,dictate
3427,similar water solubility,times  chloromethane,is
3428,times hydrocarbon it,water,note
3429,Other  factors,given  solvent,affect
3430,such gas solubility,typically temperature graph,is
3431,This,natural  water,is
3432,water,oxygen,decreased
3433,Decreased  levels,large scale fish kills,have serious
3434,partial  solution,partial  which,affected by
3435,Gas solubility,gas increases,increases as
3436,Carbonated  beverages,nice  relationship,provide
3437,carbonation process,thus beverage pressure,involves
3438,some,small carbon bubbles,heard
3439,gaseous  relation,proportional  law,is
3440,ideal  that,directly  gas,is
3441,proportionality that,gaseous solution temperature,is partial
3442,partial Henrys pressure,approximate earths atmosphere,is
3443,ideal Henrys solubility,101.3 1.38 case,is
3444,Now  we,lower  pressure,use
3445,20.7  concentration,direct  liquid,Notice
3446,,4.0 Creative Commons License,Adapted from
3447,,,Download for free
3448,that,water,is
3449,pressure,outside air bottle,be madeequal
3450,atmospheric  which,barometer,equalto
3451,trapped  gas,thereaction,is
3452,appropriately water pressure,earlier gas manometers,equal
3453,we,method,measure
3454,Water,liquid water water,evaporates
3455,collectedover it,partial water vapor,saturated with
3456,total water vaporthis,only water vapor,referred to
3457,below vapor pressure,later  course,found in
3458,graph,sea temperature,shows
3459,Video video,water,shows
3460,partial water ata pressure,argon,is
3461,Most sample ofliquid metals,ametal hydrogen anion,react with
3462,reaction,hydrochloric  acid,is
3463,gas,image,collected
